6/1/20_DISCRETE,5/31/20_DISCRETE,UID,Key,6/2/20,6/3/20
0.0,0.0,84002110.0,"Juneau, Alaska, US",0.0,0.0
0.0,0.0,84002122.0,"Kenai Peninsula,Alaska,US",2.0,2.0
0.0,0.0,84002130.0,"Ketchikan Gateway, Alaska, US",0.0,0.0
0.0,0.0,84002150.0,"Kodiak Island, Alaska, US",0.0,0.0
0.0,0.0,84002158.0,"Kusilvak, Alaska, US",0.0,0.0
0.0,0.0,84002164.0,"Lake and Peninsula, Alaska, US",0.0,0.0
0.0,0.0,84002170.0,"Matanuska-Susitna,Alaska,US",1.0,1.0
0.0,0.0,84002180.0,"Nome, Alaska, US",0.0,0.0
0.0,0.0,84002185.0,"North Slope, Alaska, US",0.0,0.0
0.0,0.0,84002188.0,"Northwest Arctic, Alaska, US",0.0,0.0
0.0,0.0,84002195.0,"Petersburg, Alaska, US",1.0,1.0
0.0,0.0,84002198.0,"Prince of Wales-Hyder, Alaska, US",0.0,0.0
0.0,0.0,84002220.0,"Sitka, Alaska, US",0.0,0.0
0.0,0.0,84002230.0,"Skagway, Alaska, US",0.0,0.0
0.0,0.0,84002240.0,"Southeast Fairbanks, Alaska, US",0.0,0.0
0.0,0.0,84002261.0,"Valdez-Cordova, Alaska, US",0.0,0.0
0.0,0.0,84002275.0,"Wrangell, Alaska, US",0.0,0.0
0.0,0.0,84002282.0,"Yakutat, Alaska, US",0.0,0.0
0.0,0.0,84002290.0,"Yukon-Koyukuk, Alaska, US",0.0,0.0
7.0,6.0,84004001.0,"Apache, Arizona, US",41.0,45.0
0.0,0.0,84004003.0,"Cochise, Arizona, US",4.0,5.0
14.0,15.0,84004005.0,"Coconino, Arizona, US",81.0,85.0
0.0,0.0,84004007.0,"Gila, Arizona, US",1.0,1.0
0.0,0.0,84004009.0,"Graham, Arizona, US",1.0,1.0
0.0,0.0,84004011.0,"Greenlee, Arizona, US",0.0,0.0
0.0,0.0,84004012.0,"La Paz, Arizona, US",1.0,1.0
80.0,80.0,84004013.0,"Maricopa, Arizona, US",448.0,466.0
8.0,8.0,84004015.0,"Mohave, Arizona, US",46.0,47.0
11.0,11.0,84004017.0,"Navajo, Arizona, US",64.0,67.0
34.0,34.0,84004019.0,"Pima, Arizona, US",191.0,196.0
7.0,7.0,84004021.0,"Pinal, Arizona, US",39.0,39.0
0.0,0.0,84004023.0,"Santa Cruz, Arizona, US",0.0,0.0
1.0,1.0,84004025.0,"Yavapai, Arizona, US",6.0,6.0
2.0,2.0,84004027.0,"Yuma, Arizona, US",17.0,21.0
0.0,0.0,84005001.0,"Arkansas, Arkansas, US",0.0,0.0
0.0,0.0,84005003.0,"Ashley, Arkansas, US",0.0,0.0
0.0,0.0,84005005.0,"Baxter, Arkansas, US",0.0,0.0
0.0,0.0,84005007.0,"Benton, Arkansas, US",2.0,3.0
0.0,0.0,84005009.0,"Boone, Arkansas, US",0.0,0.0
0.0,0.0,84005011.0,"Bradley, Arkansas, US",1.0,1.0
0.0,0.0,84005013.0,"Calhoun, Arkansas, US",0.0,0.0
0.0,0.0,84005015.0,"Carroll, Arkansas, US",1.0,1.0
0.0,0.0,84005017.0,"Chicot, Arkansas, US",0.0,0.0
0.0,0.0,84005019.0,"Clark, Arkansas, US",0.0,0.0
0.0,0.0,84005021.0,"Clay, Arkansas, US",0.0,0.0
0.0,0.0,84005023.0,"Cleburne, Arkansas, US",4.0,4.0
