UID,City,State,Country,Key,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20
84001133,Winston,Alabama,US,"Winston, Alabama, US",0,0,0,0,0,0
84002013,Aleutians East,Alaska,US,"Aleutians East, Alaska, US",0,0,0,0,0,0
84002016,Aleutians West,Alaska,US,"Aleutians West, Alaska, US",0,0,0,0,0,0
84002020,Anchorage,Alaska,US,"Anchorage,Alaska,US",4,4,4,4,4,4
84002050,Bethel,Alaska,US,"Bethel, Alaska, US",0,0,0,0,0,0
84002060,Bristol Bay,Alaska,US,"Bristol Bay, Alaska, US",0,0,0,0,0,0
84002068,Denali,Alaska,US,"Denali, Alaska, US",0,0,0,0,0,0
84002070,Dillingham,Alaska,US,"Dillingham, Alaska, US",0,0,0,0,0,0
84002090,Fairbanks North Star,Alaska,US,"Fairbanks North Star,Alaska,US",2,2,2,2,2,2
84002100,Haines,Alaska,US,"Haines, Alaska, US",0,0,0,0,0,0
84002105,Hoonah-Angoon,Alaska,US,"Hoonah-Angoon, Alaska, US",0,0,0,0,0,0
84002110,Juneau,Alaska,US,"Juneau, Alaska, US",0,0,0,0,0,0
84002122,Kenai Peninsula,Alaska,US,"Kenai Peninsula,Alaska,US",2,2,2,2,2,2
84002130,Ketchikan Gateway,Alaska,US,"Ketchikan Gateway, Alaska, US",0,0,0,0,0,0
84002150,Kodiak Island,Alaska,US,"Kodiak Island, Alaska, US",0,0,0,0,0,0
84002158,Kusilvak,Alaska,US,"Kusilvak, Alaska, US",0,0,0,0,0,0
84002164,Lake and Peninsula,Alaska,US,"Lake and Peninsula, Alaska, US",0,0,0,0,0,0
84002170,Matanuska-Susitna,Alaska,US,"Matanuska-Susitna,Alaska,US",1,1,1,1,1,1
84002180,Nome,Alaska,US,"Nome, Alaska, US",0,0,0,0,0,0
84002185,North Slope,Alaska,US,"North Slope, Alaska, US",0,0,0,0,0,0
84002188,Northwest Arctic,Alaska,US,"Northwest Arctic, Alaska, US",0,0,0,0,0,0
84002195,Petersburg,Alaska,US,"Petersburg, Alaska, US",1,1,1,1,1,1
84002198,Prince of Wales-Hyder,Alaska,US,"Prince of Wales-Hyder, Alaska, US",0,0,0,0,0,0
84002220,Sitka,Alaska,US,"Sitka, Alaska, US",0,0,0,0,0,0
84002230,Skagway,Alaska,US,"Skagway, Alaska, US",0,0,0,0,0,0
84002240,Southeast Fairbanks,Alaska,US,"Southeast Fairbanks, Alaska, US",0,0,0,0,0,0
84002261,Valdez-Cordova,Alaska,US,"Valdez-Cordova, Alaska, US",0,0,0,0,0,0
