Country,City,State,Predicted,Actual,Diff,Diff_Percent
US,Custer,South Dakota,0.460063275,0,0.460063275,0
US,Davison,South Dakota,0.460063412,0,0.460063412,0
US,Day,South Dakota,0.460070052,0,0.460070052,0
US,Deuel,South Dakota,0.460062343,0,0.460062343,0
US,Dewey,South Dakota,0.460062396,0,0.460062396,0
US,Douglas,South Dakota,0.460057666,0,0.460057666,0
US,Edmunds,South Dakota,0.460061336,0,0.460061336,0
US,Fall River,South Dakota,0.460062897,0,0.460062897,0
US,Faulk,South Dakota,0.460065121,0,0.460065121,0
US,Grant,South Dakota,0.460063024,0,0.460063024,0
US,Gregory,South Dakota,0.46006696,0,0.46006696,0
US,Haakon,South Dakota,0.460068414,0,0.460068414,0
US,Hamlin,South Dakota,0.460057991,0,0.460057991,0
US,Hand,South Dakota,0.46006441,0,0.46006441,0
US,Hanson,South Dakota,0.460065383,0,0.460065383,0
US,Harding,South Dakota,0.460071341,0,0.460071341,0
US,Hughes,South Dakota,0.460058807,0,0.460058807,0
US,Hutchinson,South Dakota,0.460072289,0,0.460072289,0
US,Hyde,South Dakota,0.460070098,0,0.460070098,0
US,Jackson,South Dakota,0.460055199,0,0.460055199,0
US,Jerauld,South Dakota,0.460064405,0,0.460064405,0
US,Jones,South Dakota,0.460068633,0,0.460068633,0
US,Kingsbury,South Dakota,0.460060605,0,0.460060605,0
US,Lake,South Dakota,0.460068743,0,0.460068743,0
US,Lawrence,South Dakota,0.460056354,0,0.460056354,0
US,Lincoln,South Dakota,0.46006614,0,0.46006614,0
US,Lyman,South Dakota,0.46005481,0,0.46005481,0
US,McCook,South Dakota,0.460070232,0,0.460070232,0
US,McPherson,South Dakota,0.460069,0,0.460069,0
US,Marshall,South Dakota,0.460061514,0,0.460061514,0
US,Meade,South Dakota,0.460065488,0,0.460065488,0
US,Mellette,South Dakota,0.460071363,0,0.460071363,0
US,Miner,South Dakota,0.460066862,0,0.460066862,0
US,Minnehaha,South Dakota,9.77601346,9,0.77601346,-0.086223718
US,Moody,South Dakota,0.46007016,0,0.46007016,0
US,Oglala Lakota,South Dakota,0.460064334,0,0.460064334,0
US,Pennington,South Dakota,0.460061486,0,0.460061486,0
US,Perkins,South Dakota,0.460068738,0,0.460068738,0
US,Potter,South Dakota,0.460066842,0,0.460066842,0
US,Roberts,South Dakota,0.460069817,0,0.460069817,0
US,Sanborn,South Dakota,0.460059298,0,0.460059298,0
US,Spink,South Dakota,0.4600735,0,0.4600735,0
US,Stanley,South Dakota,0.460056364,0,0.460056364,0
US,Sully,South Dakota,0.460063345,0,0.460063345,0
US,Todd,South Dakota,0.460064367,0,0.460064367,0
US,Tripp,South Dakota,0.460067079,0,0.460067079,0
US,Turner,South Dakota,0.460061346,0,0.460061346,0
US,Union,South Dakota,0.460068655,0,0.460068655,0
US,Walworth,South Dakota,0.460061395,0,0.460061395,0
US,Yankton,South Dakota,0.460054567,0,0.460054567,0
US,Ziebach,South Dakota,0.460061013,0,0.460061013,0
US,Anderson,Tennessee,0.460068793,0,0.460068793,0
US,Bedford,Tennessee,0.460068953,0,0.460068953,0
US,Benton,Tennessee,0.460060537,0,0.460060537,0
US,Bledsoe,Tennessee,0.460062826,0,0.460062826,0
US,Blount,Tennessee,0.460064022,0,0.460064022,0
US,Bradley,Tennessee,0.460068015,0,0.460068015,0
